1,BB&N,5,,5,,5,,5,
2024-05-07,Middletown,5:17.06,Middletown,5:35.64,,,,
,Valley Regional,5:28.71,Valley Regional,5:40.75,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-05-08,Brewster Academy,5:03.7,Brewster Academy,5:17.3,,,,
,Derryfield,5:27.1,Derryfield,5:33.8,,,,
,,,Thayer,5:50.2,,,,
,,,,,,,,
,Winsor,8:55,Winsor,10:09.99,,,,
,Lincoln,9:27,Lincoln,12:11.79,,,,
,St. Mary Academy-Bay View,9:51,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-05-11,Groton,6:10.3,Groton,6:06,Brooks,6:32,Brooks,6:45
,Brooks,6:10.6,Brooks,6:12,Choate,6:38,Groton,6:55
,Choate,6:21,Choate,6:21,Groton,6:55,Choate,7:01
,Newton Country Day,6:46,Newton Country Day,7:08,Newton Country Day,7:11,,
,,,,,,,,
,Taft,5:45.3,Winsor,6:05.5,Winsor,6:05.3,BB&N,6:22.3
,Miss Porter's,5:51.4,Taft,6:07.7,St. Mark's,6:10.0,Winsor,6:23.4
,Winsor,5:53.1,St. Mark's,6:16.4,BB&N,6:15.3,St. Mark's,6:41.8
,Frederick Gunn,5:57.3,Miss Porter's,6:27.5,Taft,6:30.7,Taft,6:46.3
,St. Mark's,6:02.0,Pomfret,6:41.3,Miss Porter's,6:56.8,Pomfret,7:02.8
,Pomfret,6:27.0,,,Pomfret,6:59.8,,
,,,,,,,,
,BB&N,5:03.1,BB&N,5:11.1,,,,
,St. Mary Academy-Bay View,5:20.2,Lincoln,5:47.4,,,,
,Lincoln,5:32.9,St. Mary Academy-Bay View,6:13.0,,,,
,,,,,,,,
,Marianapolis Prep,7:32,,,,,,
,Pingree,9:43,,,,,,
,,,,,,,,
,Nobles,5:39,Nobles,5:58,Nobles,5:55,Nobles,6:43
,NMH,6:14,NMH,6:20,NMH,6:26,NMH,7:18
,,,,,,,,
,Hopkins,5:37.6,Greenwich Academy,6:03.5,Greenwich Academy,6:37.4,Berkshire Academy,6:17.8
,Canterbury,5:44.0,Lyme/Old Lyme,6:09.5,Hopkins,6:41.1,Hopkins,6:51.3
,Greenwich Academy,5:45.5,Hopkins,6:14.5,Lyme/Old Lyme,6:43.7,Lyme/Old Lyme,7:03.6
,Lyme/Old Lyme,5:46.4,Berkshire Academy,6:25.2,,,Canterbury,8:14.8
,Berkshire Academy,6:00.3,Canterbury,7:23.7,,,,
,,,,,,,,
,Middlesex,5:35.9,Cambridge RLS,5:57.6,Middlesex,6:04.3,Middlesex,6:16.3
,Cambridge RLS,5:43.1,Middlesex,6:03.8,Cambridge RLS,6:05.1,Cambridge RLS,6:50.4
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
